Place,Aqu,Klo,Dij,Sens,Arne,Nev,Gai,MCa,Rome3,VimA
,,,,,,,,4,,
et,0,-1,-1,-1,-1,-1,-1,-1,2,
,,,,,,,,,5,
,0,0,0,0,0,0,0,0,4,
,,,,,,2,,2,2,
col,2,2,2,2,2,2,2,2,2,
,4,4,4,4,4,4,4,4,4,
,-1,-1,0,0,-1,0,0,0,,
,0,0,0,0,0,0,0,0,,
,2,2,0,2,2,2,2,2,2,
,4,4,,4,4,4,4,4,4,
,2,2,2,2,2,2,2,2,2,
,4,4,4,4,4,4,4,4,,
,-1,-1,2,,-1,,,,,
,,,4,0,,,,0,,
,0,0,0,0,,0,0,0,0,
,2,2,0,2,0,0,0,2,-1,
,5,,2,5,2,2,2,5,,
,4,4,5,5,5,5,5,5,,
,5,5,5,5,5,5,5,5,,
,2,2,2,2,2,2,2,2,,
,0,0,0,0,0,0,0,2,,
les,2,2,2,2,2,2,2,2,0,
,-1,-1,-1,0,0,0,0,0,2,
,0,0,0,0,0,0,0,0,4,
,-3,-3,-3,-3,-3,,,0,2,
,,,,,,-3,-3,-3,0,
,-5,-5,-5,-5,-5,-5,-5,-5,-1,
,0,-3,-3,-3,-3,-3,-3,2,0,
,-3,-5,-5,-5,-5,-5,-5,0,-3,
,-5,0,-1,-3,-1,0,-1,4,-5,
,-3,-3,-3,-5,-3,-3,-3,2,-3,
,-7,-5,-5,0,-5,-5,-5,0,-5,
,,,-7,-3,-7,-7,-7,-1,-1,
,,-8,-7,-3,-5,-5,-7,-1,-3,
,,-7,,-5,,-7,-10,-5,-5,
,,-7,-8,,-8,,-8,-3,-3,
,,-10,,,,,-10,-5,-5,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,-7,
,,,,,,,,,-5,
,,,,,,,,,-3,
,,,,,,,,,-5,
,,,,,,,,,-7,
jus,,,,,,,,,-7,
,,,,,,,,,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
ti,-5,-5,-5,-5,-5,-5,-5,-5,,
,0,-3,-3,-3,-3,-3,-3,-3,,
,2,-1,-1,,,0,,,,
,0,0,0,0,0,0,0,0,0,
,-5,2,2,2,2,2,2,2,2,
,-3,0,0,0,0,0,0,0,4,
,0,-3,-3,-5,-3,-1,,,,
,-5,-5,-5,-3,-5,-5,-3,-3,,
,-3,0,-1,0,-1,-3,-5,-5,,
,,,,,,0,-1,-1,2,
,-5,-5,-5,-5,-5,-5,-5,-5,,
,,-3,-3,-3,-3,-3,-3,-3,,
,,-5,-5,-5,-5,-5,-5,-5,,
ti,-7,-7,-7,-7,-7,-7,-7,-7,2,
,,,,,,,,,-1,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
,-5,-5,-5,-5,-5,-5,-5,-5,-5,
am,-5,-5,-5,-5,-5,-5,-5,-5,0,
,2,-5,-5,,-5,-5,-5,,-3,
,4,2,2,2,2,2,2,2,0,
,5,5,5,4,4,4,5,5,-1,
,2,2,2,2,2,2,2,2,2,
,4,4,,,,,,,0,
,5,5,5,4,4,4,5,5,-1,
,2,2,2,2,2,2,2,2,0,
,,,,,,,,,,
,5,,,5,5,4,5,5,-3,
,4,4,5,5,5,5,5,5,-5,
,,,,,,,,,0,
,,,,,,,,,-1,
,5,5,5,5,2,2,2,2,2,
,2,2,2,2,,,,0,0,
,-1,-1,0,0,0,0,0,0,-1,
,0,0,0,0,0,0,0,0,0,
,-3,-3,-3,-3,-3,-3,-3,-3,-3,
,-5,-5,-5,-5,-5,,-5,-5,-5,
,-3,-3,,-3,,,,,-3,
,0,0,-1,-1,-1,,-1,-1,0,
,,,,,,,,,-1,
,,,,,,,,,-3,
,,,,,,,,,-5,
,-3,-3,,-3,,,,,-3,
,-3,-3,-3,-3,-3,,-3,-3,-3,
,-5,-5,-5,-5,-5,,-5,-5,-5,
